candidate,path,description,weights,public_proxy_mse,observed_public_mse,validation_mse,validation_rmse,validation_mae,event_adjustment,event_profile,event_changed_rows,validation_adjusted_rows,mean,std,min,max
main_calibrated,outputs/candidates/submission_main_calibrated.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,False,none,0,0,243.37344877157375,202.01222885401387,3.6628593768060735,959.1036291888294
main_calibrated_event_mild,outputs/candidates/submission_main_calibrated_event_mild.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,mild,12,0,243.2547274442034,202.02445007975274,3.6628593768060735,959.1036291888294
main_calibrated_event,outputs/candidates/submission_main_calibrated_event.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,default,12,0,243.1365901340194,202.05829363354462,3.6628593768060735,959.1036291888294
main_calibrated_event_strong,outputs/candidates/submission_main_calibrated_event_strong.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong,12,0,243.0333098689338,202.11554463376584,3.6628593768060735,959.1036291888294
main_calibrated_event_strong_day_0p30,outputs/candidates/submission_main_calibrated_event_strong_day_0p30.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong_day_0p30,12,0,243.03369175885234,202.11509909711995,3.6628593768060735,959.1036291888294
main_calibrated_event_strong_core_0p33,outputs/candidates/submission_main_calibrated_event_strong_core_0p33.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong_core_0p33,12,0,243.02759171192218,202.1203285814209,3.6628593768060735,959.1036291888294
main_calibrated_event_strong_core_0p37,outputs/candidates/submission_main_calibrated_event_strong_core_0p37.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong_core_0p37,12,0,243.0390280259454,202.1108835713657,3.6628593768060735,959.1036291888294
main_calibrated_event_strong_late_0p45,outputs/candidates/submission_main_calibrated_event_strong_late_0p45.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong_late_0p45,12,0,243.01845282383542,202.12261210217088,3.6628593768060735,959.1036291888294
main_calibrated_event_strong_late_0p55,outputs/candidates/submission_main_calibrated_event_strong_late_0p55.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,strong_late_0p55,12,0,243.04816691403218,202.10961289579703,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_light,outputs/candidates/submission_main_calibrated_event_score_rebound_light.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_light,12,0,243.04783439541396,202.1038547519683,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_0p25,outputs/candidates/submission_main_calibrated_event_score_rebound_0p25.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_0p25,12,0,243.04055303767797,202.10962588179328,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_0p50,outputs/candidates/submission_main_calibrated_event_score_rebound_0p50.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_0p50,12,0,243.04779620642213,202.10389929831632,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_0p75,outputs/candidates/submission_main_calibrated_event_score_rebound_0p75.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_0p75,12,0,243.0550393751663,202.09836489967066,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_mid,outputs/candidates/submission_main_calibrated_event_score_rebound_mid.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_mid,12,0,243.06228254391047,202.09302270164542,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_1p25,outputs/candidates/submission_main_calibrated_event_score_rebound_1p25.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_1p25,12,0,243.06952571265467,202.0878727194831,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_1p50,outputs/candidates/submission_main_calibrated_event_score_rebound_1p50.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_1p50,12,0,243.0767688813988,202.08291496787933,3.6628593768060735,959.1036291888294
main_calibrated_event_score_rebound_1p75,outputs/candidates/submission_main_calibrated_event_score_rebound_1p75.csv,validation-calibrated main LightGBM ensemble,main_calibrated:1.00000,,,3044.724034446174,55.17901806344667,34.76371987918282,True,score_rebound_1p75,12,0,243.08401205014297,202.0781494609825,3.6628593768060735,959.1036291888294
